0000045,008,009
0000099,006,009
0000100,045,023
0000102,023,031
0000105,021,025
0000107,011,012
0000108,001,007
0000114,007,015
0000117,075,080
0000119,007,014
0000121,010,022
0000147,010,017
0000214,003,032
0000220,003,009
0000225,005,015
0000233,015,035
0000240,023,035
0000249,102,175
0000268,013,124
0000284,013,074
0000293,003,043
0000295,274,276
0000301,009,093
0000304,014,024
0000310,013,024
0000318,149,111
0000321,104,090
0000327,002,112
0000333,112,072
0000335,112,122
0000342,079,007
0000343,012,013
0000351,011,018
0000353,045,055
0000360,052,065
0000365,154,171
0000368,251,226
0000381,012,021
0000383,017,038
0000386,019,025
0000389,103,051
0000399,005,015
0000402,001,010
0000405,010,030
0000415,002,009
0000422,031,128
0000426,043,073
0000430,059,067
0000431,035,058
0000437,194,077
0000438,122,135
0000439,008,343
0000444,004,010
0000447,006,015
0000451,003,023
0000457,067,093
0000459,027,029
0000464,050,034
0000467,027,030
0000487,005,010
0000498,003,065
0000506,048,072
0000510,125,193
0000512,044,062
0000513,095,130
0000515,023,079
0000520,004,064
0000525,037,018
0000529,017,035
0000530,015,018
0000532,026,108
0000534,014,015
0000535,144,024
0000541,074,031
0000545,143,327
0000546,003,073
0000550,004,008
0000551,131,213
0000563,233,217
0000571,040,065
0000575,081,039
0000579,169,222
0000580,024,029
0000588,040,140
0000593,079,058
0000596,018,022
0000597,058,082
0000598,044,049
0000600,006,024
0000610,087,165
0000613,029,073
0000614,078,079
0000616,028,029
0000628,032,062
0000630,030,033
0000652,050,069
0000655,042,050
0000656,182,208
0000662,078,044
0000944,002,014
0001664,003,048
0001669,003,054
0001688,013,027
0001697,013,014
0001709,024,022
0001714,055,047
0001722,004,015
0001732,093,082
0001736,047,043
0001741,025,053
0001752,019,025
0001758,010,035
0001760,031,081
0001764,119,155
0001774,004,043
0001780,009,033
0001785,008,018
0001794,001,044
0001802,015,067
0001806,022,075
0001832,002,027
0001837,006,014
0001838,308,319
0001845,006,109
0001851,041,031
0001879,016,036
0001952,007,016
0001971,029,043
0001973,001,008
0002006,010,074
0002027,006,010
0002055,044,011
0002073,012,052
0002077,015,018
0002091,023,005
0002100,002,007
0002105,003,014
0002117,002,004
0002120,014,025
0002122,011,062
0002124,034,045
0002127,044,058
0002217,007,009
0002253,005,024
0002262,023,026
0002332,008,069
0002365,014,016
0002546,040,057
0002657,006,011
0002743,014,018
0002773,017,018
0002800,001,003
0002901,011,018
0002907,014,021
0002928,049,050
0002944,002,006
0003069,011,022
0003071,005,007
0003082,019,031
0003115,042,052
0003265,006,014
0003354,016,017
0003457,016,023
0003506,007,028
0003563,006,022
0003697,006,012
0003807,008,009
0003928,002,005
0003941,035,041
0003981,016,018
0004056,003,013
0004147,007,017
0004266,009,087
